Wavelength[nm],Intensity[normalized],Phase[rad]
792.33,0.93717757,-0.93149878
792.77,0.95783044,-1.04346808
793.21,0.85989247,-1.14852488
793.65,0.71627403,-1.24618372
794.08,0.58874578,-1.33595917
794.52,0.49304668,-1.41638919
794.96,0.42649739,-1.48747660
795.39,0.39051347,-1.54824765
795.83,0.38789905,-1.59821687
796.27,0.40693632,-1.63641049
796.71,0.41850898,-1.66234300
797.14,0.40891262,-1.67552893
797.58,0.39673717,-1.66474056
798.02,0.40279520,-1.58896505
798.45,0.43816231,-1.49996297
798.89,0.51686461,-1.40017848
799.33,0.63822437,-1.29059088
799.77,0.76670188,-1.17266777
800.20,0.86901835,-1.04738845
800.64,0.94868735,-0.91670876
801.08,1.00000000,-0.78209626
801.51,0.98427434,-0.64453025
801.95,0.89474678,-0.50596654
802.39,0.77828354,-0.36738440
802.82,0.67714006,-0.22976309
803.26,0.59561905,-0.09554671
803.70,0.52063100,0.00743004
804.13,0.44994602,0.09918402
804.57,0.39180506,0.18557192
805.01,0.34815978,0.26610280
805.44,0.31640781,0.34126230
805.88,0.29960085,0.41007120
806.31,0.30240321,0.47203857
806.75,0.32419369,0.52765007
807.19,0.35626191,0.57592650
807.62,0.38154955,0.61686524
808.06,0.38568497,0.64948711
808.50,0.37177585,0.67476605
808.93,0.35962092,0.69123464
809.37,0.37273888,0.69107776
809.81,0.42350257,0.65476157
810.24,0.50071311,0.61011553
810.68,0.57536573,0.55860189
811.11,0.62381884,0.50070638
811.55,0.64199669,0.43691469
811.99,0.63839804,0.36868911
812.42,0.62065876,0.29700366
812.86,0.59366251,0.22185579
813.29,0.56608509,0.14470780
813.73,0.54917412,0.06653371
814.16,0.54433138,-0.01266901
814.60,0.54155580,-0.09143802
815.04,0.53589906,-0.16879930
815.47,0.53233723,-0.23254830
815.91,0.53338421,-0.27780474
816.34,0.53444933,-0.32068439
816.78,0.52987508,-0.36118974
817.21,0.51608018,-0.39883500
817.65,0.49284048,-0.43459921
818.09,0.46540718,-0.46750829
818.52,0.44011226,-0.49854126
818.96,0.41819021,-0.52721230
819.39,0.39678556,-0.55401217
819.83,0.37458204,-0.57796674
820.26,0.35379158,-0.60005502
820.70,0.33537963,-0.61979117
821.13,0.31706390,-0.63766591
821.57,0.29688972,-0.65172853
822.00,0.27450837,-0.66198147
822.44,0.24997647,-0.67038027
822.87,0.22445842,-0.67692732
823.31,0.20065922,-0.68162505
